ID,L,T,D,R
134,Ñ,Contiene ,"Aliviar momentáneamente una sensación o necesidad, como el hambre o la sed, o hacer que disminuya.",Engañar
135,X,Contiene ,Resalto del pabellón de la oreja humana que comienza en el orificio externo del conducto auditivo y termina en el lóbulo.,Hélix
136,I,Empieza ,Cuerpo geométrico de veinte caras.,Icosaedro
137,V,Empieza ,Lámina fina que se arranca de la madera al cepillarla y que suele salir enrollada en espiral.,Viruta 
138,Z,Empieza ,"Coloquialmente, persona de poca formalidad, inquieta y enredadora.",Zascandil
139,A,Empieza ,Movimiento que propugna la defensa de los derechos de los animales.,Animalismo 
140,O,Empieza ,"Hierba aromática muy común en el Mediterráneo, de flores purpúreas, utilizada en cocina como condimento o especia.",Orégano 
141,M,Empieza ,"Calma excesiva, impasibilidad.","Melsa, Mandanga "
142,R,Empieza ,Espacio que quedaba en las galeras entre banco y banco.,Remiche
143,U,Empieza ,Ciudad de los Países Bajos en la que se firmaron los tratados que pusieron fin a la guerra de sucesión española.,Utretch
114,Q,Contiene,Lugar de una montaña en que perdura mucho tiempo la nieve y el hielo.,Ventisquero
145,V,Empieza ,"Conjunto de tres o más ramos, hojas, flores, pétalos u otros órganos, que están en un mismo plano alrededor de un tallo.",Verticilo 
146,M,Empieza ,"Calma excesiva, impasibilidad.",Melsa
147,J,Empieza ,Sitio o situación en que hay bienestar y abundancia.,Jauja
118,I,Empieza ,Lengua de tierra que une dos continentes o una península con un continente.,Istmo
149,M,Empieza ,"Colchón de paja, esparto o hierba y sin puntadas o ataduras a trechos para mantenerla en su lugar.",Márfega
150,P,Empieza ,Almendra recubierta de una capa blanca de azúcar.,Peladilla
151,Q,Contiene ,"Cada una de las casillas, blancas y negras alternadamente, en que se divide el tablero de ajedrez.",Escaque
152,I,Empieza ,"Forma gráfica que adopta cualquier elemento de un programa informático; por ejemplo, una unidad de disco.",Icono
153,L,Empieza ,Voz alemana que designa el tema musical dominante y recurrente en una composición.,Leitmotiv
154,R,Empieza ,"Se aplica a un hecho, una situación o una peripecia, tan increíbles que parecen de ficción.",Rocambolesco
155,U,Empieza ,Cualidad de lo que está en todas partes al mismo tiempo.,Ubicuidad 
156,Q,Contiene ,"Antiguamente, comisionado oficial para redimir cautivos o libertar esclavos o prisioneros de guerra.",Alfaqueque
157,U,Empieza ,Se dice de la radiación del espectro electromagnético de mayor longitud de onda que el rojo y de alto poder calorífico.,Ultrarrojo 
158,Y,Contiene ,"En informática, unidad de información compuesta generalmente de ocho bits.",Byte
159,F,Empieza ,Rechazo patológico a la luz,Fotofobia
160,O,Empieza ,"Trabajo, empleo, oficio ",Ocupación 
161,I,Empieza ,"Echar poco a poco, gota a gota, un líquido en otra cosa.",Instilar
162,X,Contiene,"Jugo lechoso que circula por los vasos de algunas plantas, del que se obtienen materiales como el caucho y la goma.",Látex
163,D,Empieza ,"Reptil fósil, propio del Mesozoico, generalmente de gran tamaño, como el diplodocus y el velocirraptor.",Dinosaurio 
164,Z,Empieza,Escaparse o esconderse para evitar un encuentro o riesgo.,Zafarse
165,R,Empieza ,"Roca volcánica compuesta por cuarzo, ortosa y mica, rica en vidrios y de estructura salpicada de cristales finos.",Riolita
166,M,Empieza ,"Expresión depensamientos, sentimientos o acciones por medio de gestos y movimientos corporales.",Mímica
167,O,Empieza ,Conjunto de los países de Asia y de algunas regiones de Africa y Europa contiguas a Asia.,Oriente
168,U,Empieza ,Participio del verbo utilizar.,Utilizado
169,X,Contiene ,Obsesión patológica por desarrollar la musculatura.,Vigorexia 
170,Z,Empieza ,País africano con capital en Harare.,Zimbabue
171,B,Empieza ,"En los centros de enseñanza, persona cuyo oficio es cuidar del orden fuera de las aulas, y otras funciones auxiliares.",Bedel
172,C,Empieza ,Defecto del lenguaje que consiste en un encuentro o repetición de sonidos que resulta desagradable.,Cacofonía 
173,G,Empieza ,Caja en que el cazador lleva metido el hurón.,Garigola
174,D,Empieza ,Indiferencia o desapego indicativos de desprecio.,"Desdén, Desaire"
175,R,Empieza ,"Robo, expoliación o saqueo que se ejecuta arrebatando con violencia.",Rapiña
176,R,Empieza ,Dicho agudo y sentencioso de uso común.,"Refrán, Retraher"
177,O,Empieza ,"En matemáticas, variable que sirve para identificar cada uno de los elementos de una familia mediante su valor numérico.",Parámetro
178,V,Empieza ,Yacimiento de mineral de forma alargada.,"Veta, Vena "
179,D,Empieza ,Estudio estadístico de la población humana.,Demografía 
180,P,Empieza ,Comer carne y pescado en una misma comida durante los días de Cuaresma en que la Iglesia lo prohíbe.,Promiscuar
181,E,Empieza ," Espada estrecha, de sección cuadrangular, con la que solo se puede herir por la punta.",Estoque
182,E,Empieza ,Tablero o lienzo pintado de negro o de color oscuro que se usa en las escuelas para escribir o dibujar en él con tiza.,Encerado
183,G,Empieza ,"Lingote corto de plomo, estaño o cobre.",Galápago
184,F,Empieza ,"Desinfectar algo por medio de humo, gas o vapores adecuados.",Fumigar
185,U,Empieza ,"Arrogante, presuntuoso, engreído.","Ufano, Ufana"
186,O,Empieza ,"Parte de la medicina que trata de la gestación, el parto y el posparto.",Obstetricia
187,T,Empieza ,"Coloquialmente, engaño o mentira.","Trola, Tangada"
188,X,Contiene ,Especialista en el estudio de los venenos.,Toxicólog@
189,O,Empieza ,Parte delantera de un proyectil.,Ojiva
190,M,Empieza ,"Dispositivo óptico en forma de cajón, que se llevaba por las calles para mostrar a la gente figuras con movimiento.","Mundonuevo, Mundinovi"
191,U,Empieza ,Ofender gravemente a una persona con palabras o hechos.,Ultrajar
192,R,Empieza ,Vástago o tallo que echa de nuevo la planta.,Retoño
193,Y,Contiene ,Río de Argentina que confluye con el río Neuquén para formar el río Negro.,Limay
194,R,Empieza ,Gran afluencia de peces hacia la costa.,Ribazón
195,D,Empieza ,"Conversación entre dos o más personas, que alternativamente manifiestan sus ideas o afectos.",Diálogo
196,V,Empieza ,Barco de vapor usado para el transporte de pasajeros en los canales de Venecia.,Vaporetto
197,J,Empieza ,"Cualidad de la persona alegre, bromista o de buen humor.","Jovialidad, Jocosidad"
198,L,Empieza ,"Abogado, licenciado en derecho.",Letrad@
199,Ñ,Contiene,Perteneciente o relativo a la Constitución española de 1812.,Doceañista
200,E,Empieza ,Cheque que tiene validez en una red de bancos europea.,Eurocheque
201,U,Empieza ,Persona que presta con interés excesivo.,Usurer@
202,X,Contiene ,Fenómeno por el cual las aguas de una región desembocan en el mar.,Exorreísmo
203,T,Empieza ,Artificio pirotécnico que consiste en una serie de petardos enlazados por una cuerda y que estallan sucesivamente.,Traca
204,A,Empieza ,Autómata con forma humana.,Androide
205,P,Empieza ,"Mantenerse sin mutación en un mismo lugar, estado o calidad.",Permanecer
206,F,Empieza ,Mojón de piedra que tiene parecido con un fraile.,Framontano
207,E,Empieza ,"Completo, que tiene todas las partes o elementos que le corresponden.",Entero 
208,N,Empieza ,Buque o avión que sirve para abastecer de combustible a otros.,Nodriza
209,G,Empieza ,Error cometido por distracción al escribir o al hablar.,Gazapo
210,X,Contiene , Situación de un trabajador que está sin ejercer su cargo u ocupar su puesto de trabajo de manera temporal.,Excedencia
211,H,Empieza ,Especialista en lengua y cultura griegas.,Helenista
